----------基本信息----------
基准高程：9
单位格网边长：1
格网纵向个数：26
格网横向个数：56
格网总数：1456
总体积：

----------凸包点信息----------
点名    X坐标    Y坐标    H高程
P28   3778.428   2845.174   10.354
P05   3795.293   2853.800   10.115
P04   3799.039   2856.230   10.102
P03   3799.283   2864.640   9.977
P02   3795.959   2868.952   9.615
P12   3792.979   2870.191   9.554
P11   3785.879   2870.586   9.528
P51   3769.646   2870.663   10.220
P35   3751.040   2864.182   10.537
P34   3744.891   2859.717   11.130
P33   3744.116   2853.723   10.773
P32   3749.893   2848.263   10.633
P31   3757.095   2846.279   10.650
P29   3772.222   2845.423   10.604
P28   3778.428   2845.174   10.354
